create_char_title	Create a New Character
messages.2	Mabinogi : Pioneers of Iria
messages.3	PC Spec Auto Diagnosis Service Shortcut
messages.4	OK
messages.5	Cancel
messages.6	Mabinogi : Ancient Secrets of Irinid
messages.7	Mabinogi : Dragon
messages.8	Mabinogi : Alchemist
msg.account_creat_failed	Failed to create a new account.
msg.adv_item.notice_msg	Please click the box on the bottom right corner to receive an Advanced Play item.
msg.agetext_0	Age Limit: {0} - {1}
msg.agetext_1	Age Limit: {0} or Over
msg.agetext_2	Age Limit: Below (0)
msg.arbeit.success_frequency	{0} Part-Time Job     {1} times done, Success Rate {2}%
msg.arbeit_completed	Part-Time Job\n{0} is Complete!\nPlease report to {1}.
msg.arena_logout_safety_notice	Arena logout protection. Protection will end when exiting the Arena.
msg.authorize_failed_use_command	You do not have sufficient rights to use this command.
msg.camp.abandon_cancel_btn	Cancel
msg.camp.abandon_msg	Someone is already inside the camp.\n\nBy deciding to close an occupied camp,\nyou will forfeit the ownership of the camp, and\nit will disappear once everyone inside leaves.\nYou will also no longer be able to revive at this camp.
msg.camp.abandon_ok_btn	OK
msg.camp.abandon_title	Notice
msg.camp.already_have	A camp already exists. Only one camp can be set up at a time.
msg.camp.expired	The item has expired. It can no longer be used.
msg.camp.generate_tooltip	In Use
msg.camp.leave_msg	This camp will disappear once you exit.\nDo you wish to leave the camp?
msg.camp.leave_title	Leave Camp
msg.campsharing_cancel	Cancel
msg.campsharing_info	Food can be shared with those seated around the campfire.\n50% of the food can be shared equally, regardless of the number of people sitting around the fire.\nDo you wish to use Campfire Sharing?
msg.campsharing_info_title	Campfire Sharing
msg.campsharing_message_requiring	You can write a note while sharing food.
msg.campsharing_no	No
msg.campsharing_ok	Yes
msg.cannot_attack	Attack Cancelled
msg.cannot_drop_in_camp	Items cannot be dropped in a camp.
msg.cannot_drop_item	Unable to discard the item!
msg.cannot_use_item	Unable to use the item.
msg.card_help	Press New Character to create a new character,\nor select a character to be reborn and press Rebirth.
msg.castle_info_not_found	Information on the corresponding house and/or castle cannot be found.
msg.channel_move_desc	Moving to another channel incurs same penalties as re-login.\n\n- Cancel current Part-time job    \n- Teleporting from inside the dungeon to the lobby\n- Automatic drop out from a party               \n-  Logout penalty applied        \n\n
msg.channel_move_notify	If used, you will be moved to {0}. \nTo move to {0}, you will need to use the channel exclusive to {0}.\n\n
msg.character_aging_message	Your character is now {0} years old.
msg.character_explo_levelup_message	Exploration Level Up!\nYou've leveled up to Level {0}!
msg.character_levelup	Level Up!\nYou are now level {0}!
msg.chat_add_friend_failed_cannot_find	User {0} cannot be found. \nOnly users that have logged on at least once after the Messenger system was implemented can be added as friends.
msg.chat_add_friend_failed_full	Your character(s) {0}\nalready have more than {1} friends in the messenger, so\nno more friends can be added.
msg.chat_add_friend_failed_logout	Friends can only be added when logged into the Messenger.
msg.chat_add_self	You cannot add yourself.
msg.chat_ban_failed_cannot_find	User {0} cannot be found.
msg.chat_ban_failed_logout	You need to log in to block a user.
msg.chat_ban_self	You cannot block yourself.
msg.chat_closing_window_by_logout	This window can no longer be used since you have logged out.
msg.chat_confirm_friend_failed_full	Your character(s) {0} \nalready possess more than {1} friends, and therefore, no more friends can be added. \nPlease log in again after deleting 1 or more friends from the above character(s).
msg.chat_connection_closed_etc	Connection to the server lost. Automatic re-login will begin.
msg.chat_connection_closed_etc.development	Connection to the chat server lost for an unknown reason.
msg.chat_friend_deleted	Your friend's character {0} was deleted. All related information has been erased.
msg.chat_friend_state_changed	{0}'s status has changed to {1}.
msg.chat_id_password_mismatch	Failed to connect to the Messenger. Will retry connection on the next log in.
msg.chat_id_password_mismatch.development	Incorrect user name or password. Please try again.
msg.chat_invalid_charactername	Character name is invalid. Please submit a ticket to Customer Support about this character/server.
msg.chat_login_from_othersite	You have logged in from another location. Automatic log in will start in a few moments.
msg.chat_login_from_othersite.development	You have logged in from another computer, causing the current connection to end.
msg.chat_sendmessage_failed	Failed to send the following message.
msg.chat_server_connection_failed	Failed to connect to the communication server. Auto re-login will begin in a few moments.
msg.chat_server_connection_failed.development	Failed to connect to the Chat Server. Please try again later.
msg.chat_server_unavailable	No communication server currently available. Automatic retry will start in a few moments.
msg.chat_server_unavailable.development	Chat server is currently unavailable. Please try again later.
msg.chat_someone_added_me	Your friend has notified you about a new character. \nThe following characters will be seen as one. \n\n{0}
msg.chat_unable_while_offline	You cannot open a chat window while in the Appear Offline state.
msg.chat_unban_failed_logout	You need to log in to unblock a blocked user.
msg.collect_reward_failed	You were unable to receive any rewards.
msg.collectionbook.already_rewarded	You have already received a reward.
msg.collectionbook.complete_rate	{0}% completed
msg.collectionbook.rewardable	The reward can be collected.
msg.combat.weapon_weaker_than_barehand	Better to fight with bare hands rather than with {0}.|{0} is useless as a weapon. Bare hands would be better. |Fighting with bare hands would be better than with the {0}.|The attack rate of the {0} is even lower than fighting with bare hands!
msg.confirm_use_coupon	Do you wish to use this coupon and receive the reward?
msg.connect_failed_to_localserver	Failed to connect to the local server.
msg.create_char_fail_max	Failed to create a new character.\n\n* Only up to 20 characters can be created per account.
msg.create_character_fail_max_80	Failed to create a new character.\n\n*You can create a maximum of 80 characters.
msg.create_dungeon_time	Situation has arisen at present time {0}, {1} {2} {3}:{4}
msg.create_pet_fail_max	Failed to create a new Animal Character\n\n*You may create only up to 20 animal characters.
msg.critical_hit	Critical Hit!!!
msg.critical_hit_msg	Critical Hit!!!
msg.cutscene_leader_skips_demo	Your party leader has skipped the clip.
msg.cutscene_wait	Please wait for a moment...
msg.cutscene_wait_for_leader	Your party leader is still watching the clip.
msg.destroy_item_confirm	Do you really want to destroy {0}?
msg.dev.bank_not_savable	Deposit not allowed
msg.dev.bank_not_sharable	Bank sharing not allowed
msg.dev.is_proxy	Proxy
msg.dev.keep_owner	Retain ownership
msg.dev.not_destructable	Indestructible
msg.dev.not_enchantable	Not enchantable
msg.dev.not_removable	Not removable
msg.dev.not_repairable	Not repairable
msg.dev.not_tradable	Not tradable
msg.dev.region_fixed	Fix Region
msg.dungeon_create_waiters	Waiting for the dungeon to be created. There are {0} people left until the dungeon is created.
msg.dungeon_logout_safety_notice	Dungeon logout protection. It will end when exiting the dungeon.
msg.dungeon_pass_tooltip	\nExpires in {0}
msg.dungeon_pass_tooltip_expire	Time Expired
msg.ego_talk_equip	Please equip the Spirit Weapon in order to talk with the spirit.
msg.enchant.scroll_only_warning	If you enchant an item with the scroll only, without using the Enchant skill,\nthe enchant scroll will disappear regardless of the result.\nDo you wish to enchant using only the scroll?
msg.enchant.scroll_only_warning_title	Notice
msg.enchant_bad	Enchantment failed!
msg.enchant_best	Enchantment was a great success!!!
msg.enchant_good	Enchantment was a success!
msg.enchant_scroll_expired_prefix	Time Expired
msg.enchant_scroll_expired_suffix	Time Expired
msg.enchant_scroll_expiretime_prefix	\nExpires in {0}
msg.enchant_scroll_expiretime_suffix	\nExpires in {0}
msg.enchant_scroll_prefix	Prefix
msg.enchant_scroll_suffix	Suffix
msg.enchant_worst	Enchantment was a huge failure!!!
msg.engine_initializing	Initializing Pleione Engine...
msg.enter_world	You have entered the world of Mabinogi.
msg.equip_ego_weapon_request	Please equip the Spirit Weapon in order to talk with the spirit.
msg.error.1	The game cannot run because the graphic card was not initialized correctly.\n\nIf the issue continues when using nVidia series cards,\ninstall the latest graphic card driver available and try again.\nPlease submit a ticket to Customer Support for further details.\n\n
msg.error.2	The graphic card installed on your system\ndoes not support critical functions required to run the game.\nThe program will no longer proceed.
msg.error.3	Sorry for the inconvenience.
msg.error.4	DirectX 9.00 or higher is required to run the Mabinogi client.\nDownload and install the latest DirectX version and try again.
msg.error.5	Sorry for the inconvenience.\n\nThe problem description for the occurring issue has been copied to the clipboard.\nPlease submit a ticket to Customer Support\nso that it may be referenced during bug resolution.\n\nIf you post the message using the Mabinogi Error Assistant\nit will greatly help us check and resolve the issue. \nPress OK to return to the Bug Report Board.\nYou will be logged off from the game.\n
msg.error.6	Mabinogi: An error occurred during execution.
msg.error.7	Mabinogi
msg.error.8	Bug Report
msg.error.9	Compatibility mode activation is not necessary,\nbecause Mabinogi supports the latest Windows versions.\nIf you wish to use all your Windows functions without restriction, we recommend you disable Compatibility mode.\n\nDo you wish to disable Compatibility mode?
msg.error.10	Attention!
msg.error.11	Please run again after disabling Compatibility mode.
msg.error.12	Mabinogi
msg.error.13	Compatibility mode has been disabled.\nPlease run Mabinogi again.
msg.error.14	Another Mabinogi client is already running.
msg.error.15	The graphic card installed on your system\ndoes not ensure proper execution of the Mabinogi client.\nThis graphic card does not support a minimum number of key requirements.\nRunning the client with this card may cause unexpected issues,\nincluding the unstable execution of the Mabinogi client.\n\nDo you wish to continue?\n
msg.error.16	http://mabi.pro/4th/3_free.php?bc=4
msg.fix_charge_10x	Repair cost 10x
msg.gdi_startup	Preparing to run
msg.gift_help	Click See to receive the present.
msg.gm.confirm_force_open_door	Do you wish to open this door?
msg.gm.not_move_silencemode	Moving with Mute Mode enabled is not recommended.
msg.guild_create.agreed	{0} has agreed on forming a Guild.
msg.guild_create.agreement_request	Do you agree with {0}, the party leader, on forming a guild called {1}?
msg.guild_create.agreement_request_title	Agree to Guild Formation
msg.guild_create.already_guildmember	You are currently a guild member.
msg.guild_create.confirm_create	All party members have agreed on forming a guild. Do you wish to form one?
msg.guild_create.confirm_create_title	Confirm Guild Formation
msg.guild_create.create_request	You have successfully submitted a request to form a new guild. Please wait until all party members agree to the guild creation.\nIf failed, you'll need to create a new party in order to re-apply for one.
msg.guild_create.create_request_failed	The request to form a new guild has failed.\nCreate a new party and try again.
msg.guild_create.daylimit	{0} cannot join the guild. A week must pass before joining another guild.
msg.guild_create.disagreed	{0} has not agreed on forming a new guild.
msg.guild_create.insufficient_member	You must be the leader of a party of 5 to form a guild.
msg.guild_create.no_pet	Unable to create a guild due to one of the party members being an animal character.
msg.guild_distroy	The guild will be disbanded.\nIt may take about 1 minute to complete the process.
msg.guild_distroy_failure	Failed to disband the guild.
msg.guild_failure	Fail
msg.guild_join_awaiting_notice	Application has been submitted.\nThe Guild Leader will need to approve your application to become a guild member.
msg.guild_name_usable_failure	This name is not available.\nTry another name.
msg.guild_name_usable_success	This name is available.
msg.guild_success	Success
msg.guild_transition_master	The Guild Leader has been successfully changed.\nIt may take about 1 minute to complete the change.
msg.guildchat_logout_or_invalid	You are either not logged into the messenger, or the guild is not valid.
msg.guildchat_unavaiable_notice	We are sorry, but guild chat is currently unavailable.
msg.house_prop_confirm	You must pay a fee of {0} Gold to use this.\nAre you sure you want to use it?
msg.house_prop_unavailable	This is currently not availble for use.\nPlease contact the current tenant.
msg.immune_magic_rate	<color=3>Auto Defense (Magic): {0}%</color>
msg.immune_melee_rate	<color=3>Auto Defense (Melee): {0}%</color>
msg.immune_ranged_rate	<color=3>Auto Defense (Ranged): {0}%</color>
msg.inventory_cannot_throw_pocket_containing	A bag containing items inside cannot be discarded.
msg.inventory_cannot_use_bag	Extra Storage is required to open the bag.\nPlease use 'Empty Bag' command to retrieve the items in the bag.
msg.ipservice_timeout_notice	Premium PC room servhice hours have expired.
msg.item.directbank_tradable	Direct Bank Transaction enabled
msg.item.directbank_untradable	Direct Bank Transaction disabled
msg.item.durability	Number of uses {0}/{1}
msg.item.skill_restriction	Skill Limit : {0} {1} rank or higher.
msg.item_attack	Attack {0}-{1}
msg.item_attackspeed_fast	Fast
msg.item_attackspeed_normal	Normal
msg.item_attackspeed_slow	Slow
msg.item_attackspeed_veryfast	Very Fast
msg.item_attackspeed_veryslow	Very Slow
msg.item_burnup_failed	Failed to burn the item.
msg.item_buy_failed	You cannot buy this item.
msg.item_check_description	Please pay the amount listed below to the item holder.
msg.item_check_tooltip	{0} Gold
msg.item_coupon_reward_tooltip	The reward for this coupon
msg.item_critical	Critical {0}%
msg.item_defense	Defense Rate {0}
msg.item_drop_failed	You cannot drop this item.
msg.item_durability	Durability {0}/{1}
msg.item_durability_current	Use Count {0}/{1}
msg.item_exp	Proficiency {0} ({1}%)
msg.item_exploquest	Exploration Quest
msg.item_give_failed	This item cannot be gifted.
msg.item_give_failed_not_givable_item	This item cannot be given to someone else.
msg.item_give_failed_toofar	Unable to gift this item due to the target being too far away.
msg.item_guildpendant_bind	\n\n<color=1> You are currently bound to  <color=2>{0}<color=1>guild.
msg.item_maker_blacksmith	Blacksmith
msg.item_maker_cloth	Tailor
msg.item_maker_default	Crafter
msg.item_maker_desc	{1:jobclass} Rank {0:rank} {2:name}'s work
msg.item_nogive_property	This item cannot be given to someone else.
msg.item_original	(Original)
msg.item_pickup_failed_general	You cannot pick up this item.
msg.item_pickup_failed_invalid_item	The item does not exist.
msg.item_pickup_failed_inventory_insertion_failed	You cannot add this item to your inventory.
msg.item_pickup_failed_no_authority	I do not have the right to pick up this item.|This item is not for me.|I cannot pick up this item.|I cannot pick up someone else's item.
msg.item_pickup_failed_no_authority2	This item is not for me. |I can't pick up this item. | This item belongs to someone else and therefore I cannot pick it up.
msg.item_pickup_failed_notenough_space	There is not enough space in your inventory.
msg.item_pickup_faled_unique	You can have only one of of this item.
msg.item_protect	Protection {0}
msg.item_remove_failed	You cannot destroy this item.
msg.item_reversion	{0}-only Item
msg.item_sell_failed	You cannot sell this item.
msg.item_size_desc	\n\nSize: {0} cm
msg.item_skill_limit	Skill Limit: {0} Rank {1} or higher
msg.item_skill_restrict	This item can only be equipped by characters with at least Rank {1} in {0}.
msg.item_tooltip.exploquest	Exploration Quest
msg.item_tooltip.general_prop_sketched	Sketched
msg.item_tooltip.keyexploquest	Mandatory Exploration Quest
msg.item_tooltip.monster_sketched	A sketch of {0} 
msg.item_tooltip.prop_sketched	A sketch of {0} 
msg.item_tooltip.require_explolevel	Exploration Level: {0}
msg.item_tooltip.time_remaining	Time remaining : {0} min.
msg.item_upgrade	Modify Count {0} / Available Modify Count {1}
msg.item_upgraded	Upgraded {0} with {1}.
msg.item_valance	Balance {0}%
msg.item_weapontype_hitcount	{0} {1} Hit Weapon
msg.item_weapontype_ranged	{0} Ranged Weapon
msg.item_wounddamage	Injury Rate {0}-{1}%
msg.license.cumulated_gold	Total Amount: {0} Gold
msg.license.deposit_commission	Exchange Fee {0}%
msg.license.gold_limit	Limits {0} Gold
msg.license.not_usable	Unusable
msg.license.sell_commission	Sales Fee {0}%
msg.license.selling_price	Sales Amount: {0} Gold
msg.license.unusable_area	Unusable Area
msg.license.usable_area	Usable Area
msg.lobby_cancel_character_delete_failed	Failed to restore the character.
msg.lobby_cardtype_discount	(Discount card)
msg.lobby_cardtype_prize	(Product card)
msg.lobby_cardtype_test	(Test card)
msg.lobby_character_create_failed	Failed to create a new character.\n\nThe name may already have been taken by another player.\nPlease select another name and try again.
msg.lobby_character_create_failed_age	Failed to create a new character.\n\n* Your age does not comply with the server requirements.\n* Please read the description of each server and select again.
msg.lobby_character_create_failed_card_condition	Failed to create a new character.\n\n* You have selected an appearance not supported by your present creation card.
msg.lobby_character_create_failed_card_error	Failed to create a new character.\n\n* The information in the character card is invalid.\n* Please submit a ticket to Customer Support for further details.
msg.lobby_character_create_failed_internal_error	Failed to create a new character.\n\n* An internal error occurred while creating the character.\n* Please take a screenshot of the current screen and submit a ticket to Customer Support.
msg.lobby_character_create_failed_old	Failed to create a new character.\n\nThe name may already be in use by another player.\nPlease select another name and try again.
msg.lobby_character_create_failed_same_name	Failed to create a new character.\n\n* The name may already be in use by another player or it may not be available in the game.\n* Please try using another name.
msg.lobby_character_create_failed_too_many	Failed to create a new character.\n\n* You have a total of 20 characters and pets.
msg.lobby_character_create_failed_unknown_error	Failed to create a new character.\n\n* An internal error ({0}) occurred while creating the character.\n* Please take a screenshot of the current screen and submit a ticket to Customer Support.
msg.lobby_character_delete_failed	Failed to delete the character.
msg.lobby_character_delete_failed2	Failed to delete the character.
msg.lobby_charactercard	<Character card>
msg.lobby_charactercard_basic	<Basic Card>
msg.lobby_charactercard_basic_discount	<Basic Card (Discount)>
msg.lobby_charactercard_basic_promotion	<Basic Card (Product)>
msg.lobby_charactercard_basic_testserveronly	<Basic Card (Test Server)>
msg.lobby_charactercard_event	<Event Reincarnation Card>
msg.lobby_charactercard_event_rebirth	Free character creating card
msg.lobby_charactercard_free	<Free card>
msg.lobby_charactercard_premium	<Premium Card>
msg.lobby_charactercard_premium_2005_summer	<프리미엄 한정 카드>\n2005년 여름 한정 품목
msg.lobby_charactercard_premium_2005_summer_discount	<프리미엄 한정 카드 (할인)>\n2005년 여름 한정 품목
msg.lobby_charactercard_premium_2005_summer_discount_reduced	<프리미엄 한정 카드 (할인)>
msg.lobby_charactercard_premium_2005_summer_reduced	<프리미엄 한정 카드>
msg.lobby_charactercard_premium_2005_winter	<프리미엄 한정 카드>\n2005년 겨울 한정 품목
msg.lobby_charactercard_premium_2005_winter_discount	<프리미엄 한정 카드 (할인)>\n2005년 겨울 한정 품목
msg.lobby_charactercard_premium_2005_winter_discount_reduced	<프리미엄 한정 카드 (할인)>
msg.lobby_charactercard_premium_2005_winter_reduced	<프리미엄 한정 카드>
msg.lobby_charactercard_premium_discount	<프리미엄 카드 (할인)>
msg.lobby_charactercard_premium_promotion	<프리미엄 카드 (상품)>
msg.lobby_gift_type	Gift from {0}
msg.lobby_local_duplicated	This name is already taken by someone else.
msg.lobby_name_available	"{0}"\nThis name is available
msg.lobby_name_not_available	"{0}"\nThis name is not available.
msg.lobby_notice	Notice
msg.lobby_petcard	<Animal Character Card>
msg.lobby_petcard_race	<'{0}' card>
msg.lobby_read_character	Reading character information.
msg.lobby_read_character_fromcard	Reading character information.
msg.lobby_read_character_old	Reading character information.
msg.login.blocked	This account has been banned. The ban will be lifted in {0}hrs. {1}min.
msg.login.booting	Login Server is currently under maintenance.\nPlease log in again later.
msg.login.char_invalid	An unexpected error has occurred to the character data. \nIt might take some time to restore the character information.
msg.login.inf_blocked	This account is currently banned. \nIf you wish to appeal the ban, please submit a ticket to Customer Support through the Mabinogi website. \nPlease select "Banning/Suspension Inquiry" as the sub-category.
msg.login.internal_error	An error has occurred to the corresponding account.
msg.login.ip_blocked	You cannot access the game from your current location.
msg.login.lack_age	We are sorry, but you cannot log in with an account if you are below 12 years old.
msg.login.unblocked	The suspended account has been reactivated.
msg.login_delay_dialog_msg	The last connection was terminated abnormally. Log in is delayed for 30 seconds\nto safely preserve the character data.
msg.login_delay_dialog_ok	OK
msg.login_delay_dialog_title	Message
msg.login_failed_general	Failed to log in.
msg.login_failed_id_password_mismatch	Your ID or password is invalid.\n\nPlease double-check your ID and password\nand see if you have the Caps Lock on or not.
msg.login_failed_server_full	Unable to connect to the server due to too many users.
msg.moonstone_tooltip	<color=0>Use a piece of Moon Stone to\ntransport yourself to the spot where you'd first found it.\nTransporting to : [<color=3>{0}<color=0>]
msg.move_channel_failed	Failed to change channels.
msg.nao_support.recharged	You have earned an additional "Nao's Support".
msg.no_collect_invalid_item	Unable to add item.
msg.no_collect_not_completed	Incomplete items cannot be stored.
msg.no_collect_target_item	Not a collectable item.
msg.no_title	No Title
msg.none_attackable_target	Not an attackable target.
msg.noskill_available_touse_thisprop	You do not have the skill to use this device.
msg.noskill_available_touse_thisprop2	This device cannot be used.
msg.notice_pause_auto_combat	Now temporarily disabling Auto Combat.
msg.order_scroll_expired	The time stated in the scroll has passed.
msg.order_scroll_tooltip	This Command Scroll says that {2} will appear at {0} in {1}.
msg.party_expmode_changed	{0} has changed the party's EXP distribution rules to [{1}].
msg.party_finishrule_changed	{0} has changed the party's finish rules to [{1}].
msg.party_join_failed_invalid_password	Incorrect password. You cannot join this party.
msg.party_kicked	You have been removed from the party.
msg.party_leader_changed	{0} has become the party leader.
msg.party_member_out	{0} has left the party.
msg.party_newmember	{0} has joined the party.
msg.party_newmember2	{0} has joined the party.
msg.party_newmember3	{0} has joined the party.
msg.party_out	You have left the party.
msg.party_quest_changed	{0} has changed the party quest to [{1}].
msg.party_quest_removed	{0} has removed the party quest.
msg.party_start_recruiting	Start party recruitment.
msg.party_stop_recruiting	Stop party recruitment.
msg.pet.ai_on	You have ordered your pet to attack at will.
msg.pet.confirm_give_item	Would you like to feed your pet with {0}?
msg.pet.favor_status	Closeness : {0}
msg.pet.food_status	Hunger : {0}
msg.pet.have_not_revive	{0} does not have a Rescue Kit.
msg.pet.healing_ai_on	You have ordered your pet to use Heal during the battle.
msg.pet.idle_msg	I should just let it do whatever it wants…|Should I just leave it alone…|Should I let it rest…?
msg.pet.idle_off	Let's get moving!|Let's go!|Wake up!
msg.pet.in_summon	Summoning…
msg.pet.in_unsummoning	Cancelling the summoning…
msg.pet.life_status	HP : {0}%
msg.pet.loyalty_status	Loyalty Level : {0}
msg.pet.meet_mate_control	You are now dating {0}.
msg.pet.meet_mate_summon	{0} and {1} have become a couple.
msg.pet.not_collect_pet	This pet cannot gather items.
msg.pet.not_collect_pet2	This pet cannot gather items.
msg.pet.pickup_ai_on	The pet starts to pick up items.
msg.pet.pickup_fail_put	{0}'s inventory is full.
msg.pet.pickup_gold	{0} has picked up {1} Gold.
msg.pet.pickup_inventory_full	{0}'s inventory is full.
msg.pet.pickup_item_bundle	{0} has picked up {2} {1}s.
msg.pet.pickup_item_single	{0} has picked up {1}.
msg.pet.remain_time	Time remaining : {0} min.
msg.pet.separate_mate_control	You have ended the relationship.
msg.pet.separate_mate_summon	{0} has ended the relationship.
msg.pet.start_other_collect	Allow others to gather from the pet.
msg.pet.started_attack	
msg.pet.started_keeper	{0} has started to protect the Personal Shop.
msg.pet.status_dead	
msg.pet.status_hunger1	
msg.pet.status_hunger2	
msg.pet.status_hunger3	
